Documento 1,Documento 2,Similitud (%)
doc_generado_93.txt,doc_generado_97.txt,1.00
doc_generado_90.txt,doc_generado_91.txt,1.00
doc_generado_8.txt,doc_generado_95.txt,1.00
doc_generado_76.txt,doc_generado_87.txt,1.00
doc_generado_74.txt,doc_generado_80.txt,1.00
doc_generado_72.txt,doc_generado_95.txt,1.00
doc_generado_72.txt,doc_generado_8.txt,1.00
doc_generado_71.txt,doc_generado_87.txt,1.00
doc_generado_71.txt,doc_generado_76.txt,1.00
doc_generado_70.txt,doc_generado_87.txt,1.00
doc_generado_70.txt,doc_generado_76.txt,1.00
doc_generado_70.txt,doc_generado_71.txt,1.00
doc_generado_7.txt,doc_generado_82.txt,1.00
doc_generado_69.txt,doc_generado_87.txt,1.00
doc_generado_69.txt,doc_generado_76.txt,1.00
doc_generado_69.txt,doc_generado_71.txt,1.00
doc_generado_69.txt,doc_generado_70.txt,1.00
doc_generado_66.txt,doc_generado_87.txt,1.00
doc_generado_66.txt,doc_generado_76.txt,1.00
doc_generado_66.txt,doc_generado_71.txt,1.00
doc_generado_66.txt,doc_generado_70.txt,1.00
doc_generado_66.txt,doc_generado_69.txt,1.00
doc_generado_65.txt,doc_generado_82.txt,1.00
doc_generado_65.txt,doc_generado_7.txt,1.00
doc_generado_62.txt,doc_generado_95.txt,1.00
doc_generado_62.txt,doc_generado_8.txt,1.00
doc_generado_62.txt,doc_generado_72.txt,1.00
doc_generado_6.txt,doc_generado_95.txt,1.00
doc_generado_6.txt,doc_generado_8.txt,1.00
doc_generado_6.txt,doc_generado_72.txt,1.00
doc_generado_6.txt,doc_generado_62.txt,1.00
doc_generado_57.txt,doc_generado_97.txt,1.00
doc_generado_57.txt,doc_generado_93.txt,1.00
doc_generado_54.txt,doc_generado_95.txt,1.00
doc_generado_54.txt,doc_generado_8.txt,1.00
doc_generado_54.txt,doc_generado_72.txt,1.00
doc_generado_54.txt,doc_generado_62.txt,1.00
doc_generado_54.txt,doc_generado_6.txt,1.00
doc_generado_49.txt,doc_generado_87.txt,1.00
doc_generado_49.txt,doc_generado_76.txt,1.00
doc_generado_49.txt,doc_generado_71.txt,1.00
doc_generado_49.txt,doc_generado_70.txt,1.00
doc_generado_49.txt,doc_generado_69.txt,1.00
doc_generado_49.txt,doc_generado_66.txt,1.00
doc_generado_44.txt,doc_generado_95.txt,1.00
doc_generado_44.txt,doc_generado_8.txt,1.00
doc_generado_44.txt,doc_generado_72.txt,1.00
doc_generado_44.txt,doc_generado_62.txt,1.00
doc_generado_44.txt,doc_generado_6.txt,1.00
doc_generado_44.txt,doc_generado_54.txt,1.00
doc_generado_43.txt,doc_generado_87.txt,1.00
doc_generado_43.txt,doc_generado_76.txt,1.00
doc_generado_43.txt,doc_generado_71.txt,1.00
doc_generado_43.txt,doc_generado_70.txt,1.00
doc_generado_43.txt,doc_generado_69.txt,1.00
doc_generado_43.txt,doc_generado_66.txt,1.00
doc_generado_43.txt,doc_generado_49.txt,1.00
doc_generado_42.txt,doc_generado_97.txt,1.00
doc_generado_42.txt,doc_generado_93.txt,1.00
doc_generado_42.txt,doc_generado_57.txt,1.00
doc_generado_41.txt,doc_generado_87.txt,1.00
doc_generado_41.txt,doc_generado_76.txt,1.00
doc_generado_41.txt,doc_generado_71.txt,1.00
doc_generado_41.txt,doc_generado_70.txt,1.00
doc_generado_41.txt,doc_generado_69.txt,1.00
doc_generado_41.txt,doc_generado_66.txt,1.00
doc_generado_41.txt,doc_generado_49.txt,1.00
doc_generado_41.txt,doc_generado_43.txt,1.00
doc_generado_40.txt,doc_generado_95.txt,1.00
